Date,TowerID,Place,Region,Description of change,Source,Route
2023-10-12,10148,"Thornaby on Tees, S Paul",North Yorkshire,"1-8: nominal added, Fr1, Fr2: date added; Fr2: truss amended (no suitable sub-type available), layout added (layout is T-shaped, with 2 and 3 across the top of the T and 1 at right-angles)","John Arthur, DAC Bells Advisor, York Diocese, from personal visit",
2023-10-12,15790,"Tichborne, S Andrew",Hampshire,"1,2,4,6: nominal added; 3,5: nominal amended",Recorded by Tim Jackson and analysed by Nick Bowden,
2023-10-12,11991,"Tottenham, All Hallows",Greater London,"Service: founder, turning added","Angela Elliott, local contact, from personal research",
2023-10-12,15498,"Trowell, S Helen",Nottinghamshire,"Fr1: date, maker deleted, material amended, truss, layout added",Peter Hayward,
2023-10-12,24452,"Warrington, S Elphin",Cheshire,"Overhaul, Note added;","John Adams, from personal visit and picture of G&J board at the church",
2023-10-12,24617,"West Scammonden, S Bartholomew",West Yorkshire,"Fr1 added; Overhaul description amended; 1: nominal, note added; hung for dead-rope ringing","Peter Hayward and Dave Matthews, from personal visit. Recorded by Dave Matthews and analysed by Nick Bowden",
2023-10-12,13479,"York, S Olave, Marygate",North Yorkshire,"Fr2 changed to Fr9: date, material amended, truss added","Chris Pickford from the Taylors archive and from pictures provided by Roger Button, tower captain",
2023-10-11,15414,"Lenton, Sacred & Undivided Trinity",Nottinghamshire,Toilet added,"Lynda Lazzerini and Ruth Curtis, from personal visits",
2023-10-11,13846,"Micheldever, S Mary",Hampshire,Fr1: date amended; maker confirmed,Chris Pickford from the Taylors archive,
2023-10-11,13846,"Micheldever, S Mary",Hampshire,Toilet added,Tim Jackson from personal visit,
2023-10-11,25347,"Muxton, S John Evan",Shropshire,"New tower, chime and bell details added; Note added","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. Also Mark Adams, via John Allen and see CB Shropshire, Walters (entry for Longford).",
2023-10-11,10192,"Nunney, All Saints",Somerset,Fr1: layout amended,"Ben Kipling, Matthew Higby & Co",
2023-10-11,15097,"Odiham, All Saints",Hampshire,"Toilet added; 1-5, Clock: nominal added; 6: nominal amended; Clock: note added","Tim Jackson, from personal visit. Recorded by Tim Jackson and analysed by Nick Bowden",
2023-10-11,12740,"Preston Candover, S Mary V",Hampshire,Fr1 added,"Tim Jackson, from personal visit. Additional information provided by Chris Pickford from the Taylors archive",
2023-10-11,16628,"Ripon, Cath Ch of S Peter & S Wilfrid",North Yorkshire,"Fr1: layout amended (original layout 10.X is 10.3 with 1 and 2 side-by-side, and side-by-side with the tenor, rather than end-to-end)","Information (pictures) provided by Martin Davies, local contact",
2023-10-11,23115,"Runwell, S Mary",Essex,1-4: hanging added,"Owen Jones, via Ryan Faulkner-Hatt, from personal visit",
2023-10-11,25348,"Seaview, S Peter",Isle of Wight,"New tower, ring, frame and bell details added; Fr1 Truss: No suitable sub-type available","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. Information, including sketch, provided by Kye Leaver, from personal visit. Additional information provided by Chris Pickford",
2023-10-11,11847,"Shoreditch, S Leonard",Greater London,"Fr2, Fr9 added","Alan Regin, local contact and Facebook picture provided by Benjamin Vallejo",
2023-10-10,16467,"Binsted, Holy Cross",Hampshire,"Sanctus: diameter, founder, turning amended; hanging added","Chris Pickford, citing Sharpe Trust papers",
2023-10-10,10729,"Brown Candover, S Peter",Hampshire,Overhaul description added,Andrew Nicholson,
2023-10-10,14294,"Buntingford, S Bartholomew, Layston",Hertfordshire,Project added; ring type amended,Neil Thomas,
2023-10-10,16683,"Buriton, S Mary V",Hampshire,Toilet added,Tim Jackson from personal visit,
2023-10-10,18805,"Burmington, S Nicholas & S Barnabas",Warwickshire,Fr1 added,Chris Pickford from personal visit,
2023-10-10,19132,"Chichester, S Pancras",West Sussex,Fr1 added,"Information (including picture) provided by Kye Leaver, from personal visit",
2023-10-10,10741,"Corfe Mullen, S Hubert",Dorset,"Fr1: truss, layout added; 1-6: turning added",Andrew Nicholson,
2023-10-10,11030,"East Meon, All Saints",Hampshire,Toilet added,Tim Jackson from personal visit,
2023-10-10,13149,"East Tisted, S James",Hampshire,Project completed,Andrew Nicholson,
2023-10-10,20245,"Fulford, S Oswald",North Yorkshire,Dedication amended,Crockford,Tim Jackson
2023-10-10,12419,"Hawkley, S Peter & S Paul",Hampshire,Project completed,"Ben Kipling, Matthew Higby & Co",
2023-10-10,25345,"Hopton on Sea, S Margaret",Norfolk,"New tower, chime and bell details added","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. See CB Suffolk, Raven. Continued existence of a single bell confirmed by the incumbent, Rev Nigel Lacey",
2023-10-10,25346,"Kempshott, S Mark",Hampshire,"New tower, chime and bell details added; Note added","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. See: https://www.parishofbasingstokedown.org.uk/locations/st-marks/ and Chris Veel, from personal visit",
2023-10-10,16880,"Penselwood, S Michael",Somerset,PN amended,Bruce Bower,#005754
2023-10-10,13997,"Woodditton, S Mary V",Cambridgeshire,Tower work completed and ringing resumed.,Phil Gorman,#005752
2023-10-09,15335,"Beverley, Minster Ch of S John & S Martin",East Riding of Yorkshire,New project added,"Mark Walker, Whites of Appleton #005718",
2023-10-09,25344,"Binstead, Holy Cross",Isle of Wight,"New tower, ring, frame and bell details added","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England and Kye Leaver, from personal visit. Additional information provided by Chris Pickford from the Taylors archive",
2023-10-09,15476,"Buckfast, Abbey Ch of S Mary (RC)",Devon,Bourdon: hanging type added,Euan Thomas #005746,
2023-10-09,19132,"Chichester, S Pancras",West Sussex,"1: nominal, diameter, canons, turning, hanging type added; 1: cast year amended",Kye Leaver (visited 01/10/2023) #005708,
2023-10-09,13476,"Clyro, S Michael","Powys, Wales",New project added,"Mark Walker, Whites of Appleton #005717",
2023-10-09,17032,"Danehill, All Saints",East Sussex,New project added; 1-6: turning added,"Mark Walker, Whites of Appleton #005719",
2023-10-09,25294,"Leigh on Sea, S Aidan",Essex,1: hanging type added,Ryan Faulkner-Hatt from personal visit  #005732,
2023-10-09,12429,"London, S Botolph without Aldgate",City of London,One bell U/R,"Mark Walker, Whites of Appleton #005716",
2023-10-09,16727,"Lytham, S Peter (RC)",Lancashire,Project description amended,David Potter,
2023-10-09,12123,"Marsworth, All Saints",Buckinghamshire,URL added; PN added,Alan Masters #005750,
2023-10-09,22008,"Marylebone, S Marylebone",Greater London,New project added,"Mark Walker, Whites of Appleton",
2023-10-09,14410,"Mentmore, S Mary V",Buckinghamshire,URL added,Alan Masters  #005750,
2023-10-09,23055,"Roehampton, Holy Trinity",Greater London,Project completed,David Potter,
2023-10-09,14378,"Steep, All Saints",Hampshire,1-6: nominal added,Recordings taken 30/9/2023,Bill Hibbert #005729
2023-10-09,10148,"Thornaby on Tees, S Paul",North Yorkshire,"Toilet added; Fr1: truss,layout added; Fr2: truss added",John Arthur (site visit 9/2023) #005685,
2023-10-09,24770,"Wibtoft, Assumption of Our Lady",Warwickshire,"Overhaul added; 1: turning, hanging added",CJP visit June 2010,Chris Pickford #005725
2023-10-08,15650,"Bentworth, S Mary",Hampshire,1-6: nominal added.,"Bill Hibbert, recordings taken 30 Sept 2023",#005728
2023-10-08,19371,"Cornwell, S Peter",Oxfordshire,1: weight added.,JT&Co data,Chris Pickford #005722
2023-10-08,10455,"Pakenham, S Mary",Suffolk,Dedication amended,Crockford's,
2023-10-08,11530,"Pitsford, All Saints",Northamptonshire,Toilet added,Keith Isaacs,#005739
2023-10-08,11336,"Rotherham, Minster Ch of All Saints",South Yorkshire,PN amended,Helen Turner,#005740
2023-10-08,15311,"Woolpit, Blessed Virgin Mary",Suffolk,Dedication amended,Crockford's,
2023-10-08,12165,"York, Oratory Ch of S Wilfrid (RC)",North Yorkshire,URL amended,David Hull,#005730
2023-10-07,12156,"Broadhempston, S Peter & S Paul",Devon,Ringing suspended temporarily,"Graham Pascoe, tower captain #005701",
2023-10-07,11261,"Calne, S Mary V",Wiltshire,"Sanctus,Unused: weight added",Chris Pickford #005712,
2023-10-07,20359,"Goosey, All Saints",Oxfordshire,"Overhaul added; 1-2: weight, diameter, canons added; 2: founder added",Sharpe Trust application 1991,Chris Pickford #005711
2023-10-07,15066,"Long Eaton, S Laurence",Derbyshire,1-8: turning added,Visit by James Hedgcock #005714,
2023-10-07,10043,"South Ockendon, Holy Cross (RC)",Essex,"Bourdon,Sanctus: hanging type added",Personal inspection,Philip Denton #005702
2023-10-07,25013,"Worsthorne, S John Ev",Lancashire,"Note added; 1: weight, note, cast year added; 1: founder amended",Nick Bowden #005713,
2023-10-06,17921,"Anfield, S Margaret",Merseyside,1: hanging type added,Personal visit,Samuel Austin  #005698
2023-10-06,16271,"Buckworth, All Saints",Cambridgeshire,"5: weight amended; 2-3: weight added; 1: nominal amended; 2-5: nominal added; 1-5: note, diameter amended.",Nigel Taylor's inspection notes #005688,
2023-10-06,21048,"Hough Green, S Basil & All Saints",Cheshire,1: hanging type added,Personal visit,Samuel Austin  #005697
2023-10-06,13309,"Liverpool, Our Lady & S Nicholas, Pier Head",Merseyside,Sanctus: hanging type added,Personal visit,Samuel Austin  #005699
2023-10-06,10192,"Nunney, All Saints",Somerset,"1-8: weight amended; 2-8: nominal amended; 1: nominal added; 2-8: diameter amended; 1,2: turning, hanging type added","Project complete, bells test rung as an 8. Non-standard layout",Benjamin Kipling  #005691 #005692
2023-10-06,16301,"Prescot, S Mary",Merseyside,Service: hanging type added,Personal visit,Samuel Austin #005695
2023-10-06,11111,"Rainhill, S Ann",Merseyside,Service: hanging type added,Personal visit,Samuel Austin  #005696
2023-10-05,13738,"Trull, All Saints",Somerset,New project added,David Potter,
2023-10-05,13707,"Welland, S James",Worcestershire,Project under way,David Potter,
2023-10-05,13975,"Wimborne St Giles, S Giles",Dorset,Project under way,David Potter,
2023-10-04,17017,"Ashbury, S Mary V",Oxfordshire,PN amended (no longer alternates with Bishopstone),Tim Jackson,
2023-10-04,16792,"Aylsham, S Michael",Norfolk,Year tuned added,Tim Jackson,
2023-10-04,25343,"Belton, All Saints",Norfolk,"New tower, chime and bell details added","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England.Tim Jackson from personal visit (tower). See CB Suffolk, Raven. Continued existence of the bell confirmed by the incumbent, Rev Rosie Bunn",
2023-10-04,15576,"Binbrook, S Mary",Lincolnshire,Project description amended,Tim Jackson,
2023-10-04,14444,"Bredgar, S John Bapt",Kent,PN amended,"Tim Ford, tower captain #005673",
2023-10-04,18796,"Burgh Castle, S Peter & S Paul",Norfolk,"Fr1 added; 1-2: weight added; 1-3: note, diameter, date, founder, canons, turning added",Chris Pickford from the Taylors archive. Additional information (approximate weight and hanging) provided by Neil Thomas. Tim Jackson from personal visit (tower),
2023-10-04,19487,"Crowhurst, S George",East Sussex,"Fr1 added; ex2: weight, diameter amended",Chris Pickford from the Taylors archive,
2023-10-04,14200,"Great Hormead, S Nicholas",Hertfordshire,GF added,"Jen Johnson, from local knowledge",
2023-10-04,12419,"Hawkley, S Peter & S Paul",Hampshire,Project description amended,Tim Jackson,
2023-10-04,11700,"Hitchin, S Mary",Hertfordshire,Project description amended,Tim Jackson,
2023-10-04,15107,"Horsham, S Mary V",West Sussex,Project description amended,Tim Jackson,
2023-10-04,21633,"Little Berkhamsted, S Andrew",Hertfordshire,Place name amended,OS Map; ABC Gazetteer; Crockford; CHR,
2023-10-04,23055,"Roehampton, Holy Trinity",Greater London,Project description amended,Tim Jackson,
2023-10-04,15901,"Sacombe, S Catherine",Hertfordshire,Toilet added,"Jen Johnson, from local knowledge",
2023-10-04,14448,"Sowerby, S Peter",West Yorkshire,"Fr1: date, material, maker amended, truss, layout added","Peter Kirby from personal visit. Frame material taken from Bells of the Churches in the Diocese of Wakefield, Greenwood. Additional information provided by Chris Pickford from the Taylors archive",
2023-10-04,12585,"St Annes on the Sea, S Anne",Lancashire,Tuning year added,Tim Jackson,
2023-10-04,23620,"St Erney, S Terninus",Cornwall,TowerBase ID added,Tim Jackson,
2023-10-04,10131,"Stowmarket, S Peter & S Mary",Suffolk,Project description amended,Tim Jackson,
2023-10-04,17618,"Turkdean, All Saints",Gloucestershire,Project description amended,Tim Jackson,
2023-10-02,17248,"Askham, S Nicholas",Nottinghamshire,2: nominal added,JT&Co/HMA/GAD data,Chris Pickford #005670
2023-10-02,17100,"Burton upon Trent, S Chad",Staffordshire,Postcode amended,"Steven Blakemore, Tower Captain #005668",
2023-10-02,11261,"Calne, S Mary V",Wiltshire,"Unused: note, diameter, canons added",C Dalton notes,Chris Pickford #005679
2023-10-02,19389,"Coton, S Peter",Cambridgeshire,2-3: nominal added,JT&Co data 1951,Chris Pickford #005665
2023-10-02,19487,"Crowhurst, S George",East Sussex,1-2: nominal added; 1: founder amended,JT&Co data 1962 (nominals); Elphick (inscription),Chris Pickford #005666 #005669
2023-10-02,10907,"Hardwicke, S Nicholas",Gloucestershire,Project completed,David Potter #005680,
2023-10-02,10045,"Hugglescote, S John Bapt",Leicestershire,New project added,David Potter #005674,
2023-10-02,15066,"Long Eaton, S Laurence",Derbyshire,Toilet added,Ruth Curtis #005682,
2023-10-02,16727,"Lytham, S Peter (RC)",Lancashire,Project completed,David Potter #005674,
2023-10-02,12879,"Netley, S Edward Conf",Hampshire,New project added,Mark Walker #005684,
2023-10-02,25341,"Oxcombe, All Saints",Lincolnshire,"New tower, ring, frame and bell details added","OS Map; ABC Gazetteer; CHR; StreetMap; Historic England. GAD NBR Lincoln Dio. See also Lincolnshire B&B, Ketteringham",
2023-10-02,22712,"Penhurst, S Michael the Archangel",East Sussex,New project added,Andrew Nicholson,
2023-10-02,25342,"Richmond, Holy Trinity",North Yorkshire,"New tower, chime and bell details added",OS Map; ABC Gazetteer; CHR; StreetMap; Historic England and GAD NBR Ripon Dio.,
2023-10-02,12625,"Rise, All Saints",East Riding of Yorkshire,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-10-02,16595,"Royal Hillsborough, S Malachi","Down, Northern Ireland",URL deleted (URL https://www.hillsboroughparish.org.uk/bell-ringers gives 404 error (not found)),Error detected by Dove Tower URL Checker,
2023-10-02,23455,"Snargate, S Dunstan",Kent,3: founder amended (corrected),Dickon Love,
2023-10-02,17076,"South Lopham, S Andrew",Norfolk,Fr1 added,"Stuart Hale, from personal visit",
2023-10-02,12585,"St Annes on the Sea, S Anne",Lancashire,"Fr1, Fr1.1, Note added","Information (including pictures) provided by Monica Hallows, local contact. Additional information provided by Chris Pickford from the Taylors archive",
2023-10-02,15412,"Staunton on Wye, S Mary V",Herefordshire,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-10-02,14988,"Stepney, S Dunstan & All Saints",Greater London,1952 overhaul description amended,Tim Jackson,
2023-10-02,14385,"Swineshead, S Mary",Lincolnshire,"Fr1: material amended, truss, layout added","Bill Hibbert, from personal visit. See also Lincolnshire B&B, Ketteringham",
2023-10-02,13345,"Tacolneston, All Saints",Norfolk,"Fr1: truss, layout added; Fr2: material amended, truss added","Bill Hibbert, from personal visit",
2023-10-02,11949,"Tawstock, S Peter",Devon,New project added,Andrew Nicholson,
2023-10-02,12257,"Terrington St John, S John Bapt",Norfolk,"Fr1, Fr2 added","Bill Hibbert, from personal visit",
2023-10-02,12451,"Thurlby, S Firmin",Lincolnshire,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-10-02,17126,"Tibenham, All Saints",Norfolk,"Fr2: date amended, truss, layout added (Fr2 was originally constructed with short heads but was subsequently reconstructed with long heads. The original truss was 3.Q)","Bill Hibbert, from personal visit. See also Church Bells of Norfolk, Part 5 page 39, Cattermole",
2023-10-02,16978,"Timberland, S Andrew",Lincolnshire,"Fr1: truss, layout added (Fr1 truss is similar to a combination of 6.A and 6.L)","Bill Hibbert, from personal visit",
2023-10-02,13774,"Tydd St Mary, S Mary",Lincolnshire,"Fr1: truss added, layout amended","Bill Hibbert, from personal visit",
2023-10-02,13692,"Walsoken, All Saints",Norfolk,"Fr1: date, material, layout amended, truss added","Bill Hibbert, from personal visit",
2023-10-02,15788,"West Quantoxhead, S Etheldreda",Somerset,SNLat/SNLng added,Mark Philipson #005672,
2023-10-02,14802,"Whiston, S Mary V",Northamptonshire,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-10-02,24737,"White Notley, S Etheldreda",Essex,"Overhaul, Fr1 added; 2: weight, nominal, note, turning added","David Sloman, DAC Bells Advisor, Chelmsford Diocese, citing the Ranald Clouston papers",
2023-10-02,13479,"York, S Olave, Marygate",North Yorkshire,PN details amended,"Roger Button, tower captain",
2023-10-01,13021,"Montgomery, S Nicholas","Powys, Wales",Ellacombe added,Colin Turner,#005706
2023-09-29,13128,"Pulham St Mary, S Mary V",Norfolk,"1-4,6-8: nominal added",JT&Co data (taken in tower by PLT 1961),#005678
2023-09-28,20016,"Exeter, S Michael & All Angels, Mount Dinham",Devon,1: diameter added,Towers and Bells of Devon vol. 2,Neal Dodge
2023-09-27,10815,"Garboldisham, S John Bapt",Norfolk,Fr1 added,"Stuart Hale, from personal visit",
2023-09-27,13002,"Gedney, S Mary Magd",Lincolnshire,"Fr1: truss, layout added","Bill Hibbert, from personal visit",
2023-09-27,12767,"Gedney Hill, Holy Trinity",Lincolnshire,"Fr1: truss added, layout amended","Bill Hibbert, from personal visit",
2023-09-27,11185,"Glinton, S Benedict",Cambridgeshire,"Fr1: material, truss, layout added; Fr2 added","Bill Hibbert, from personal visit. Additional information provided by Peter Hayward",
2023-09-27,15044,"Gorseinon, S Catherine","Swansea, West Glamorgan, Wales",Fr1 added; 1-8: turning added,"Peter Hayward, from personal visit",
2023-09-27,14533,"Great Shefford, S Mary",Berkshire,URL deleted (URL https://www.greatshefford.org.uk/ gives 404 error (not found). No alternative URL found to date),Error detected by Dove Tower URL Checker,
2023-09-27,25339,"Hawerby, S Margaret",Lincolnshire,"New tower, chime, frame and bell details added; (Fr1 layout is two pits side-by-side)","OS Map; ABC Gazetteer; CHR; StreetMap; Historic England. See GAD NBR Lincoln Dio. See also Lincolnshire B&B, Ketteringham",
2023-09-27,20741,"Heacham, S Mary",Norfolk,Fr1 added; Sanctus moved to Other Bells; Chime amended to FC ring and U/R,"Neil Thomas, from personal visit. Bill Hibbert, from personal visit (frame)",
2023-09-27,11693,"Hereford, S Nicholas",Herefordshire,Postcode amended (postcode HR4 0BH was terminated on 01/May/2023),Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-27,20851,"Heybridge, S Andrew",Essex,"Fr1: truss amended, layout added","David Sloman, DAC Bells Advisor, Chelmsford Diocese, from personal visit",
2023-09-27,11056,"Hope, S Cynfarch","Flintshire, Clwyd, Wales",Postcode amended (postcode LL12 9NG was terminated on 01/Jun/2023),Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-27,11341,"Llanmaes, S Catwg","The Vale of Glamorgan, South Glamorgan, Wales",New project added,Andrew Nicholson,
2023-09-27,21760,"London, S Michael Paternoster Royal",City of London,Postcode amended (postcode EC4R 2RL was terminated on 01/May/2023),Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-27,10487,"Long Buckby, S Lawrence",Northamptonshire,1899 overhaul added,Chris Pickford from the Taylors archive,
2023-09-27,11736,"March, S Wendreda",Cambridgeshire,Fr1: layout amended,"Bill Hibbert, from personal visit",
2023-09-27,16564,"Marden, S Michael & All Angels",Kent,New project added,Andrew Nicholson,
2023-09-27,14479,"Marham, Holy Trinity",Norfolk,Fr1 added,"Bill Hibbert, from personal visit",
2023-09-27,25340,"Marton in the Forest, S Mary",North Yorkshire,"New tower, chime, frame and bell details added (Fr1 inner truss is 5.S; outer trusses are 5.T, layout is two pits side-by-side)","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. See York Dio (North Riding), Clouston and Dawson",
2023-09-27,14490,"Maxey, S Peter",Cambridgeshire,"Fr1: date, maker amended, truss, layout added","Bill Hibbert, from personal visit. Additional information provided by Chris Pickford and John Eisel",
2023-09-27,15005,"Melbury Osmond, S Osmund",Dorset,New project added,Andrew Nicholson,
2023-09-27,17565,"Moordown, S John Bapt",Dorset,New project added,Andrew Nicholson,
2023-09-27,10320,"Mortlake, S Mary",Greater London,"Fr1: maker amended, layout added (layout is 8.3 but with Pits G and H at right-angles)","Bill Hibbert, from personal visit",
2023-09-27,16764,"Newton in the Isle, S James",Cambridgeshire,Fr1: date amended,Chris Pickford from the Taylors archive,
2023-09-27,16521,"Northwold, S Andrew",Norfolk,"Fr1 added (truss is 6.A but with two frame heads, one above the other)","Bill Hibbert, from personal visit",
2023-09-27,17592,"Oare, Blessed Virgin Mary",Somerset,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-27,12818,"Outwell, S Clement",Norfolk,"Fr1: truss, layout added","Bill Hibbert, from personal visit",
2023-09-26,19546,"Dalton, Holy Trinity",Northumberland,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,17658,"Deganwy, All Saints","Conwy, Clwyd, Wales",Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,17319,"Denholme, S Paul",West Yorkshire,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,19610,"Derby, S Osmund",Derbyshire,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,19643,"Discoed, S Michael","Powys, Wales",Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,15015,"Diss, S Mary",Norfolk,"Fr1: material amended, truss, layout added","Bill Hibbert, from personal visit",
2023-09-26,19662,"Doncaster, S Mary, Wheatley",South Yorkshire,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,19675,"Douglas, All Saints",Isle of Man,Listed building attributes added,Isle of Man Government list of Registered Buildings,
2023-09-26,19676,"Douglas, S Matthew",Isle of Man,Listed building attributes added,Isle of Man Government list of Registered Buildings,
2023-09-26,19677,"Douglas, S Ninian",Isle of Man,Listed building attributes added,Isle of Man Government list of Registered Buildings,
2023-09-26,19708,"Duddo, All Saints",Northumberland,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,19722,"Dulwich, S Peter",Greater London,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,19723,"Duncton, Holy Trinity",West Sussex,Listed building attributes added,"Listed building data, downloaded 19/Jun/2023",
2023-09-26,13149,"East Tisted, S James",Hampshire,New project added,Andrew Nicholson,
2023-09-26,10221,"Emneth, S Edmund",Norfolk,Fr1 added,"Bill Hibbert, from personal visit. Additional information provided by Chris Pickford from the Taylors archive",
2023-09-26,16763,"Fornham St Martin, S Martin",Suffolk,Project description amended,Andrew Nicholson,
2023-09-26,23183,"Santon Downham, S Mary V",Suffolk,"1: weight, note, nominal, canons, and turning added; changed to full circle; and frame added",Ranald Clouston papers 1972,Neal Dodge
2023-09-25,13453,"Abenhall, S Michael",Gloucestershire,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-25,15632,"Abson, S James Gt",Gloucestershire,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-25,12524,"Arlecdon, S Michael",Cumbria,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-25,10180,"Arundel, Chapel of Our Lady, Arundel Castle",West Sussex,"Overhaul added; Fr1, Fr2 added (Fr1 layout is two pits side-by-side); 1-3: weight, nominal, note, diameter, canons, turning amended",Andrew Nicholson,
2023-09-25,16240,"Assington, S Edmund K&M",Suffolk,Postcode amended,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-25,13475,"Atcham, S Eata",Shropshire,Postcode amended; postcode SY5 6QG was terminated on 01/Jul/2023,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-25,25337,"Barningham Winter, S Mary V",Norfolk,"New tower, chime and bell details added","OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. See GAD Naylor Vickers index (listed under Matlaske). See also CB Norfolk, l’Estrange. See also: https://www.stmarysbarninghamwinter.co.uk/history",
2023-09-25,17173,"Bath, S Luke, Bloomfield",Somerset,New project added,Andrew Nicholson,
2023-09-25,25338,"Beanacre, S Barnabas",Wiltshire,"New tower, frame, chime and bell details added",OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. Chris Pickford from personal visit; also citing Christopher Dalton papers,
2023-09-25,10685,"Blo' Norton, S Andrew",Norfolk,"Fr1: original truss, layout added (current truss mixed); Fr2: material, truss, layout added","Bill Hibbert, from personal visit",
2023-09-25,11857,"Bramley, S James",Hampshire,"Fr1: date, maker added",Chris Pickford from the Taylors archive,
2023-09-25,16062,"Bromham, S Nicholas",Wiltshire,Project completed,Andrew Nicholson,
2023-09-25,12122,"Chorley, S Laurence",Lancashire,Postcode amended; postcode PR7 1BD was terminated on 01/May/2023,Quarterly postcode check using ONS data sourced via Doogal website,
2023-09-25,19332,"Compton Wynyates, S Mary Magd",Warwickshire,Fr1 added (truss: 6.A with additional braces from sill to end-posts (as per truss type 6.M),"Chris Pickford, from personal visit",
2023-09-25,10741,"Corfe Mullen, S Hubert",Dorset,Project under way,Andrew Nicholson,
2023-09-25,14792,"Crimplesham, S Mary",Norfolk,"Fr1: date, maker, truss added","Bill Hibbert, from personal visit. Additional information provided by Chris Pickford from the Taylors archive",
2023-09-25,14120,"Kenninghall, S Mary",Norfolk,Overhaul and frame added,Neal Dodge,
2023-09-25,21942,"Manor Park, S Barnabas",Greater London,1: hanging type added,L J Owen - May 23 #005663,
2023-09-25,11308,"West Dereham, S Andrew",Norfolk,Bells 1-4 are not hung,Tim Jackson,
2023-09-24,14120,"Kenninghall, S Mary",Norfolk,Toilet added,Neal Dodge,
